step 173 dis: 0.2256227433681488,reward: 0.022803347557783127, std: 0.1
step 174 dis: 0.2238198220729828,reward: 0.02359153889119625, std: 0.1
step 174 dis: 0.22479483485221863,reward: 0.023210544139146805, std: 0.1
step 175 dis: 0.2238587886095047,reward: 0.023679085075855255, std: 0.1
step 175 dis: 0.22415383160114288,reward: 0.0233566053211689, std: 0.1
step 176 dis: 0.2243143618106842,reward: 0.02341632731258869, std: 0.1
step 176 dis: 0.22227999567985535,reward: 0.024198807775974274, std: 0.1
step 177 dis: 0.22290495038032532,reward: 0.02403523400425911, std: 0.1
step 177 dis: 0.22233587503433228,reward: 0.024271193891763687, std: 0.1
step 178 dis: 0.22500956058502197,reward: 0.02295689657330513, std: 0.1
